,Incident,Location,Reported-edited,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,Hour,Week_Day,Month,Year,Weeks Since Start,Years since start,Months since start,week-composite,month-composite,Day of month,Date
2634,Damage to Property,1362 E. 59th St. (Lab School),41061.92222,6/1/12 5:00 PM to 9:30 PM,Paint spilled in room #414,Closed,B00504,22,6,6,2012,100,2,23,6-100,6-23,1,6/1/2012
2635,Liquor Law Violation,5625 S. Ellis (Max Palevsky),41062.01042,41062.01042,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,B00506,0,7,6,2012,100,2,23,7-100,6-23,2,6/2/2012
2636,Possession of Controlled Substance,55th & Shore Dr.,41062.01319,41062.01319,UCPD officers arrested a motorist for possession of cannabis while conducting a roadside safety checkpoint at 55th & Shore Dr.,Arrest,B00505,0,7,6,2012,100,2,23,7-100,6-23,2,6/2/2012
2637,Traffic Violation,59th & Cottage Grove,41062.57292,41062.57292,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,13,7,6,2012,100,2,23,7-100,6-23,2,6/2/2012
2638,Traffic Violation,56th & Cottage Grove,41062.60069,41062.60069,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B00000,14,7,6,2012,100,2,23,7-100,6-23,2,6/2/2012
2639,Traffic Violation,58th & Cottage Grove,41062.73681,41062.73681,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,17,7,6,2012,100,2,23,7-100,6-23,2,6/2/2012
2640,Traffic Violation,55th at Blackstone,41062.82569,41062.82569,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,19,7,6,2012,100,2,23,7-100,6-23,2,6/2/2012
2641,Traffic Violation,56th & Lake Park,41062.87778,41062.87778,UCPD officer arrested a motorist for driving with a suspended vehicle registration and no insurance,Arrest,B00000,21,7,6,2012,100,2,23,7-100,6-23,2,6/2/2012
2642,Liquor Law Violation,53rd between Blackstone & Harper,41063.15347,41063.15347,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,B00507,3,1,6,2012,100,2,23,1-100,6-23,3,6/3/2012
2643,Theft,5815 S. Maryland (Mitchell Hospital),41063.85208,6/3/12 7:15 PM to 7:50 PM,Unattended cell phone taken from patient's room,Open,B00508,20,1,6,2012,100,2,23,1-100,6-23,3,6/3/2012
2644,Traffic Violation,55th & Dorchester,41063.95764,41063.95764,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,22,1,6,2012,100,2,23,1-100,6-23,3,6/3/2012
2645,Information,1116 E. 59th St. (Harper Library),41064.09514,6/3/12 to 6/4/12 11:00 PM to 2:17 AM,Staff member reports water damage on 3rd floor due to water leakage from 4th floor washroom,Closed,B00509,2,2,6,2012,100,2,23,2-100,6-23,4,6/4/2012
2646,Traffic Crash,5932 S. Woodlawn,41064.3125,41064.31181,Traffic Crash Report,Closed,B00510,7,2,6,2012,100,2,23,2-100,6-23,4,6/4/2012
2647,Other Offense,Cottage Grove at 56th,41064.35139,41064.35139,UCPD officer arrested a motorist for driving without a valid license and a passenger who was wanted on an active warrant from Will County.,Arrest,B00511,8,2,6,2012,100,2,23,2-100,6-23,4,6/4/2012
2648,Traffic Violation,55th at Drexel,41064.41042,41064.41042,UCPD officer arrested a motorist for driving with a revoked driver's license.,Arrest,B00000,9,2,6,2012,100,2,23,2-100,6-23,4,6/4/2012
2649,Lost Property,56th & Cottage Grove,41064.75208,6/4/12 8:25 AM to 8:45 AM,Woman reported loss of cell phone,Closed,B00512,18,2,6,2012,100,2,23,2-100,6-23,4,6/4/2012
2650,Battery,1111 E. Midway Pl. (Winter Garden),41064.88194,41064.88194,"Unknown male, without provocation, struck man in the face with his fist and ran off / Victim declined medical examination",Open,B00513,21,2,6,2012,100,2,23,2-100,6-23,4,6/4/2012
2651,Traffic Violation,59th & Dorchester,41064.90278,41064.90278,UCPD officer arrested a motorist for driving with a suspended driver's license.,Arrest,B00000,21,2,6,2012,100,2,23,2-100,6-23,4,6/4/2012
2652,Traffic Violation,Midway Pl. at University,41065.30903,41065.30903,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B00000,7,3,6,2012,100,2,23,3-100,6-23,5,6/5/2012
2653,Theft from Person,5505 S. Ellis (Parking Structure),41065.47014,41064.73958,Male took wallet from victim's purse as she walked up the stairs in the parking structure / Subsequent unauthorized use of credit cards reported,Open,B00514,11,3,6,2012,100,2,23,3-100,6-23,5,6/5/2012
2654,Theft,East View Park between 54th & 55th,41065.57778,6/5/12 9:00 AM to 1:00 PM,Unsecured bicycle taken from rear yard of residence / UCPD officers located and arrested the offender and recovered the bicycle,Arrest,B00515,13,3,6,2012,100,2,23,3-100,6-23,5,6/5/2012
2655,Possession of Cannabis,Midway Pl. at University,41065.83472,41065.83472,UCPD officer arrested a motorist for driving with a suspended driver's license and a passenger for possession of marijuana,Arrest,B00516,20,3,6,2012,100,2,23,3-100,6-23,5,6/5/2012
2656,Traffic Violation,59th at Cottage Grove,41065.97361,41065.97361,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,23,3,6,2012,100,2,23,3-100,6-23,5,6/5/2012
2657,Theft,60th at Woodlawn,41066.00903,6/5/12 to 6/6/12 11:40 PM to 12:10 AM,Unattended back pack placed in bushes was taken by unknown person,Open,B00517,0,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2658,Traffic Violation,60th & Stony Island,41066.44653,-652894.5535,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,10,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2659,Aggravated Battery,50th between Cottage Grove & Drexel,41066.79306,41066.79306,Male shot in the arm by suspects who fled in a waiting vehicle / UCPD officers pursued and apprehended one suspect armed with a handgun,Arrest,B00521,19,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2660,Lost Property,Unknown (Campus),41066.8125,6/6/12 10:30 AM to 7:00 PM,Man reported losing wallet some place on campus,Closed,B00518,19,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2661,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),41066.83194,6/6/12 6:55 AM to 7:40 PM,Unknown person took driver's side view mirror from a vehicle parked on the 3rd floor,Open,B00519,19,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2662,Injured Person,5550 S. University (Crown Field House),41066.88958,41066.88542,Man injured his knee while playing basketball / Transported to ER by CFD EMS,Closed,B00520,21,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2663,Traffic Violation,59th & Woodlawn,41066.92778,41066.92778,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,22,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2665,Theft,5730 S. Drexel (Comer Hospital),41066.99583,6/6/12 9:30 AM to 11:30 PM,Wallet taken from unattended purse placed in cabinet in common area,Open,B00522,23,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2664,Traffic Violation,Lake Park at 56th,41066.99861,41066.99861,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,23,4,6,2012,100,2,23,4-100,6-23,6,6/6/2012
2666,Non-Criminal,5840 S. Maryland (Parking Structure),41067.32014,6/4/12 to 6/5/12 10:30 PM to 7:00 AM,"Unknown person wrote the victim's name on the window of her car, apparently with their finger",Closed,B00523,7,5,6,2012,101,2,23,5-101,6-23,7,6/7/2012
2667,Lost Property,5730 S. Ellis (Crerar Library),41067.56528,6/6/12 1:30 PM to 2:15 PM,Man removed his silver ring and placed it in the grass in front of library while he studied / Ring missing,Closed,B00524,13,5,6,2012,101,2,23,5-101,6-23,7,6/7/2012
2668,Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),41067.58611,6/7/12 9:55 AM to 1:45 PM,Unknown person smashed passenger's side window of car parked on the 5th floor and removed a Tom Tom GPS device,Open,B00525,14,5,6,2012,101,2,23,5-101,6-23,7,6/7/2012
2669,Theft,5815 S. Maryland (Mitchell Hospital),41067.70764,6/7/12 6:30 AM to 4:45 PM,Bicycle secured to bike rack with a cable lock was taken by an unknown person,Open,B00526,16,5,6,2012,101,2,23,5-101,6-23,7,6/7/2012
2670,Traffic Violation,Greenwood at 55th,41067.91806,41067.91806,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,22,5,6,2012,101,2,23,5-101,6-23,7,6/7/2012
2671,Traffic Violation,Kimbark at 57th,41067.93889,41067.93889,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,22,5,6,2012,101,2,23,5-101,6-23,7,6/7/2012
2672,Robbery,60th between Stony Island & Dorchester,41067.94097,41067.9375,Two males forcibly took property from a man walking on the sidewalk / Arrest by UCPD,Arrest,B00527,22,5,6,2012,101,2,23,5-101,6-23,7,6/7/2012
2673,Disturbance,1100 E. 57th St. (Mansueto Library),41068.05833,41068.05833,Two individuals scaled the library dome / The pair managed to return to ground level uninjured,Referred,B00528,1,6,6,2012,101,2,23,6-101,6-23,8,6/8/2012
2674,Harassment by Electronic Means,5607 S. Drexel (Astronomy),41068.37569,4/1/12 to 6/8/12 8:00 AM to 9:00 AM,Complaint of harassing telephone calls and email messages,Open,B00529,9,6,6,2012,101,2,23,6-101,6-23,8,6/8/2012
2675,Traffic Violation,Midway Pl. at Ellis,41068.55139,41068.55139,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,13,6,6,2012,101,2,23,6-101,6-23,8,6/8/2012
2676,Traffic Violation,55th at Woodlawn,41068.59306,41068.59306,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,B00000,14,6,6,2012,101,2,23,6-101,6-23,8,6/8/2012
2677,Suspect Narcotics Found,1111 E. 60th (Rear - Exterior),41068.89722,41068.89722,UCPD officer discovered suspected cannabis near a bench at the rear of the building / Turned over to CPD,Closed,B00530,21,6,6,2012,101,2,23,6-101,6-23,8,6/8/2012
2678,Traffic Violation,800 E. 60th St.,41068.94653,41068.94653,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,22,6,6,2012,101,2,23,6-101,6-23,8,6/8/2012
2679,Found Property,1020 E. 58th St. (Kent Lab),41068.96042,41068.95833,"UCPD officer, conducting a premise check in auditorium of Kent, found a wallet / Returned to owner in tact",Closed,B00531,23,6,6,2012,101,2,23,6-101,6-23,8,6/8/2012
2680,Traffic Violation,55th at Dorchester,41069.67083,41069.67083,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,16,7,6,2012,101,2,23,7-101,6-23,9,6/9/2012
2681,Found Property,55th & Ingleside,41069.81181,41069.81181,UCPD officers recovered property taken in a burglary / Turned over to CPD,Closed,B00533,19,7,6,2012,101,2,23,7-101,6-23,9,6/9/2012
2682,Lost Property,Area of 57th & Greenwood,41069.83542,6/9/12 1:00 PM to 3:00 PM,Woman misplaced her purse while helping a friend move,Closed,B00532,20,7,6,2012,101,2,23,7-101,6-23,9,6/9/2012
2683,Traffic Violation,55th & Cottage Grove,41069.99097,41069.99097,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,23,7,6,2012,101,2,23,7-101,6-23,9,6/9/2012
2684,Aggravated Robbery,Dorchester between 53rd & 54th,41070.11944,41070.11111,"An unknown male, implying he had a weapon, took property from two women walking on the sidewalk",Open,B00534,2,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2685,Aggravated Robbery,52nd between Woodlawn & Kimbark,41070.18472,41070.16319,"An unknown male, implying he had a weapon, took property from four women on the sidewalk",Open,B00535,4,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2686,Traffic Violation,University at 58th,41070.22431,41070.22431,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,5,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2687,Theft,Harper between 55th & 56th,41070.39028,6/9/12 to 6/10/12 6:00 PM to 8:00 AM,Lawn chair taken from exterior of residence,Open,B00536,9,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2688,Traffic Violation,University at 62nd,41070.45347,41070.45347,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,10,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2689,Theft from Person,Cottage Grove at 65th (Out of Area),41070.47986,41070.47222,Male subject grabbed cell phone from the hand of a woman as she exited a CTA bus,CPD Investigation,B00537,11,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2690,Robbery,60th at Ellis,41070.50139,41070.5,Two males forcibly took a man's back pack and ran off / Both suspects were immediately arrested by UCPD officers,Arrest,B00538,12,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2691,Burglary,56th between Cottage Grove & Maryland,41070.87708,6/9/12 8:00 AM to 5:00 PM,Resident returned home to see male subject run from rear door of her apartment / Entry gained via unlocked rear door / UCPD recovered some proceeds in alley,Open,B00539,21,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2692,Criminal Trespass to Vehicle,Blackstone at 59th,41070.96875,41070.96875,UCPD officers arrested a man after owner saw him sitting in his vehicle parked on the street,Arrest,B00540,23,1,6,2012,101,2,23,1-101,6-23,10,6/10/2012
2693,Criminal Trespass to Vehicle,University between 56th & 57th (Parking Lot),41071.125,41071.04514,Resident noticed contents of glove box scattered about his car parked in private lot / Surveillance camera footage showed unknown persons enter his unlocked vehicle,Open,B00541,3,2,6,2012,101,2,23,2-101,6-23,11,6/11/2012
2694,Battery,5815 S. Maryland (Mitchell Hospital),41071.19861,41068.47917,Staff member accused of pushing another employee / Refused to sign complaint,Closed,B00542,4,2,6,2012,101,2,23,2-101,6-23,11,6/11/2012
2695,Traffic Crash Report,5530 S. Ellis,41071.35972,41071.35972,Property damage crash report,Closed,B00543,8,2,6,2012,101,2,23,2-101,6-23,11,6/11/2012
2696,Theft,Ellis between 54th & 55th,41072.01944,6/10/12 to 6/11/12 4:20 PM to 8:30 AM,Man reported $30 cash and articles of clothing were taken from his unlocked room in a shared private residence,Open,B00544,0,3,6,2012,101,2,23,3-101,6-23,12,6/12/2012
2697,Traffic Violation,53rd at Dorchester,41072.19306,41072.19306,UCPD officer arrested a motorist for driving with a suspended driver's license and no insurance,Arrest,B00000,4,3,6,2012,101,2,23,3-101,6-23,12,6/12/2012
2698,Traffic Crash,5550 S. University,41072.29375,41071.28125,Property damage traffic crash report,Closed,B00545,7,3,6,2012,101,2,23,3-101,6-23,12,6/12/2012
2699,Theft,58th between Woodlawn & Kimbark,41072.47431,6/12/12 10:00 AM to 11:20 AM,Unknown person took bicycle that had been secured to a city sign post,Open,B00546,11,3,6,2012,101,2,23,3-101,6-23,12,6/12/2012
2700,Traffic Violation,Lake Park at 56th,41072.52083,41072.52083,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,12,3,6,2012,101,2,23,3-101,6-23,12,6/12/2012
2701,Theft,901 E. 58th St. (Mitchell ER),41072.68611,6/10/12 8:30 PM to 11:30 PM,Patient's purse taken by unknown person,Open,B00547,16,3,6,2012,101,2,23,3-101,6-23,12,6/12/2012
2702,Criminal Trespass to Land,5706 S. University (Reynolds Club Quad),41072.93056,41072.93056,"Man, after receiving repeated warnings and written notice that he has been banned from University property, was arrested by UCPD",Arrest,B00548,22,3,6,2012,101,2,23,3-101,6-23,12,6/12/2012
2703,Traffic Violation,55th at Blackstone,41072.96736,41072.96736,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,23,3,6,2012,101,2,23,3-101,6-23,12,6/12/2012
2704,Burglary,Woodlawn between 52nd & 53rd,41073.01736,6/12/12 7:35 PM to 11:15 PM,Unknown person(s) forced entry via rear door of apartment / Took a laptop computer,Open,B00549,0,4,6,2012,101,2,23,4-101,6-23,13,6/13/2012
2705,Traffic Violation,55th at Dorchester,41073.42778,41073.42778,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,10,4,6,2012,101,2,23,4-101,6-23,13,6/13/2012
2706,Theft,5812 S. Ellis (Bike Rack),41073.72708,6/12/12 9:00 AM to 5:00 PM,Bicycle secured to bike rack taken by unknown person,Open,B00550,17,4,6,2012,101,2,23,4-101,6-23,13,6/13/2012
2707,Medical Call,1365 E. 60th St. (Orthogenic School),41073.79583,41073.79583,Sick person transported to ER by CFD EMS,Closed,B00551,19,4,6,2012,101,2,23,4-101,6-23,13,6/13/2012
2708,Traffic Violation,Cottage Grove at 64th,41073.80417,41073.80417,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,19,4,6,2012,101,2,23,4-101,6-23,13,6/13/2012
2709,Theft,57th & Harper,41073.83542,6/11/12 to 6/12/12 9:30 AM to 5:30 PM,Bicycle secured to bike rack on the public way taken by unknown person,Open,B00552,20,4,6,2012,101,2,23,4-101,6-23,13,6/13/2012
2710,Traffic Violation,Greenwood between 54th & 55th,41073.83681,41073.83681,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,B00000,20,4,6,2012,101,2,23,4-101,6-23,13,6/13/2012
2711,Theft,1526 E. 55th St.,41073.92778,41073.92778,Shoplifter arrested by UCPD officers after he fled store without paying for an item and struggled with store security officer,Arrest,B00553,22,4,6,2012,101,2,23,4-101,6-23,13,6/13/2012
2712,Traffic Violation,60th & Woodlawn,41074.46111,41074.46111,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,B00000,11,5,6,2012,102,2,23,5-102,6-23,14,6/14/2012
2713,Traffic Violation,55th & Dorchester,41074.46389,41074.46389,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,11,5,6,2012,102,2,23,5-102,6-23,14,6/14/2012
2714,Damage to Property / Fire,1010 E. 59th St. (Goodspeed Hall),41074.67917,41074.67917,UCPD officer used a fire extinguisher to extinguish a small fire in a trash container,Closed,B00555,16,5,6,2012,102,2,23,5-102,6-23,14,6/14/2012
2715,Traffic Violation,63rd & Harper,41074.74514,41074.74514,UCPD officer arrested a motorist for driving with a suspended driver's license and a passenger was arrested for an active warrant,Arrest,B00000,17,5,6,2012,102,2,23,5-102,6-23,14,6/14/2012
