,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
1208,9/12/2017 8:48 AM,5700 Ellis,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1209,9/12/2017 9:00 AM,5700 Ellis,African American,Female,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
1210,9/12/2017 10:53 AM,1155 E 57th,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1211,9/12/2017 1:46 PM,5300 Drexel,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1212,9/13/2017 2:28 PM,6300 S Kimbark,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1213,9/13/2017 3:57 PM,5700 S University,Hispanic,Male,Lane Violation,Illegal U-Turn,,Verbal Warning,No
1214,9/14/2017 12:56 AM,6400 S Stony Island,African American,Male,Lane Violation,Repeatedly swerving in lane,,Verbal Warning,No
1215,9/14/2017 9:16 AM,6300 S Drexel,African American,Female,Lane Violation,Improper turn,,Verbal Warning,No
1216,9/14/2017 3:58 PM,1165 E 53rd,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1217,No traffic stops for 09/15/2017,No traffic stops for 09/15/2017,No traffic stops for 09/15/2017,No traffic stops for 09/15/2017,No traffic stops for 09/15/2017,No traffic stops for 09/15/2017,No traffic stops for 09/15/2017,No traffic stops for 09/15/2017,No traffic stops for 09/15/2017
1218,No traffic stops for 09/16/2017,No traffic stops for 09/16/2017,No traffic stops for 09/16/2017,No traffic stops for 09/16/2017,No traffic stops for 09/16/2017,No traffic stops for 09/16/2017,No traffic stops for 09/16/2017,No traffic stops for 09/16/2017,No traffic stops for 09/16/2017
1219,9/17/2017 9:15 PM,5200 Blackstone,African American,Female,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1220,9/18/2017 8:34 AM,6100 S Cottage Grove,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1221,9/18/2017 8:53 AM,5900 S Stony Island,Hispanic,Male,Follow too close,Following too closely,,Verbal Warning,No
1222,9/18/2017 2:30 PM,5500 S University,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Two citations issued,Citation issued,No
1223,9/19/2017 10:01 AM,5700 S Woodlawn,Caucasian,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1224,9/20/2017 8:25 PM,6300 S Ellis,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1225,9/21/2017 9:47 AM,5500 Greenwood,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1226,9/21/2017 1:28 PM,5920 S Woodlawn,African American,Male,Speed,Speeding,,Verbal Warning,No
1227,9/21/2017 1:48 PM,1360 E Midway Plaisance,African American,Female,Speed,Speeding,,Verbal Warning,No
1228,9/21/2017 2:15 PM,5900 S Kimbark,African American,Female,Speed,Speeding,One citation issued,Citation issued,No
1229,9/22/2017 4:12 PM,5400 S Drexel,African American,Female,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1230,9/22/2017 5:02 PM,6300 S Greenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1231,9/22/2017 7:03 PM,850 E 51st,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
1232,9/23/2017 9:13 AM,930 E Midway Plaisance,African American,Female,Speed,Speeding,,Verbal Warning,No
1233,9/23/2017 9:25 AM,930 E Midway Plaisance,African American,Male,Speed,Speeding,,Verbal Warning,No
1234,9/23/2017 9:50 AM,4949 S Cottage Grove,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1235,9/23/2017 9:51 AM,930 E Midway Plaisance,African American,Male,Speed,Speeding,,Verbal Warning,No
1236,9/23/2017 9:51 AM,5500 S Payne Dr.,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1237,9/23/2017 1:26 PM,1464 E 55th,Caucasian,Male,Lane Violation,Improper turn,,Verbal Warning,No
1238,9/23/2017 4:43 PM,1521 E 55th,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
1239,9/24/2017 7:47 AM,5700 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1240,9/24/2017 8:41 AM,1200 E Midway Plaisance,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1241,9/24/2017 11:57 AM,1123 E 53rd,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1242,9/25/2017 8:38 AM,969 E. Midway Plaisance,African American,Male,Speed,Speeding,,Verbal Warning,No
1243,9/25/2017 8:59 AM,969 E. Midway Plaisance,African American,Male,Speed,Speeding,,Verbal Warning,No
1244,9/25/2017 9:11 AM,922 E. Midway Plaisance,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
1245,9/25/2017 2:09 PM,5700 S. Drexel,Hispanic,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1246,No traffic stops for 09/26/2017,No traffic stops for 09/26/2017,No traffic stops for 09/26/2017,No traffic stops for 09/26/2017,No traffic stops for 09/26/2017,No traffic stops for 09/26/2017,No traffic stops for 09/26/2017,No traffic stops for 09/26/2017,No traffic stops for 09/26/2017
1247,9/27/2017 1:19 PM,5200 S Cottage Grove,African American,Female,Lane Violation,Improper lane usage,,Verbal Warning,No
1248,9/28/2017 8:27 AM,4700 S Greenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1249,9/28/2017 11:04 PM,1210 E 53rd,African American,Male,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No
1250,9/29/2017 2:56 PM,6200 S Kimbark,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1251,9/30/2017 7:30 AM,6300 Greenwood,African American,Female,Traffic Sign/Signal,Ran red light,Two citations issued,Citation issued,No
1252,9/30/2017 8:23 AM,800 Midway Plaisance,African American,Female,Speed,Speeding,,Verbal Warning,No
1253,9/30/2017 8:42 AM,800 Midway Plaisance,African American,Female,Speed,Speeding,,Verbal Warning,No
1254,10/1/2017 6:54 PM,5300 S University,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citation issued,No
1255,10/2/2017 9:24 AM,5300 S Cornell,African American,Female,Lane Violation,Improper U-Turn,,Verbal Warning,No
1256,10/2/2017 12:39 PM,5200 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1257,10/3/2017 3:01 PM,5031 S Drexel,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
1258,10/4/2017 8:41 AM,5700 Ellis,Asian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1259,10/5/2017 2:39 PM,5300 Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1260,10/6/2017 8:11 AM,5700 Ellis,African American,Male,License plate/registration,Invalid registration,One citation issued,Citation issued,No
1261,10/6/2017 8:16 AM,5800 Woodlawn,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1262,10/6/2017 8:50 AM,1200 E 55th,African American,Female,Lane Violation,Driving in wrong lane,One citation issued,Citation issued,No
1263,10/6/2017 12:01 PM,5500 Kenwood,African American,Female,Traffic sign/signal,Ran red light,,Verbal Warning,No
1264,10/6/2017 12:45 PM,5700 Drexel,Caucasian,Male,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1265,10/6/2017 4:38 PM,1100 E 54th,African American,Male,Moving Violation - Other,Failure to yield to CTA bus in intersection,,Verbal Warning,No
1266,10/6/2017 11:54 PM,6400 S Dante,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1267,10/7/2017 7:58 PM,1326 E 53rd,African American,Male,Lane Violation,Improper U-Turn,,Verbal Warning,No
1268,10/7/2017 9:48 PM,5933 S Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
1269,10/8/2017 2:12 AM,1450 E 55th,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
1270,10/8/2017 9:51 AM,5500 S Ellis,African American,Male,Moving Violation - Other,Failure to yield to authorized emergency vehicle,,Verbal Warning,No
1271,10/8/2017 7:45 PM,5224 S Lake Park,Asian,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
1272,10/9/2017 10:53 AM,5100 S Blackstone,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1273,10/9/2017 3:44 PM,5506 S Lake Park,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1274,10/9/2017 4:17 PM,5627 S Lake Park,Caucasian,Male,Moving Violation - Other,Improper use of electronic communication device,,Verbal Warning,No
1275,10/10/2017 4:47 PM,5535 S Cornell,Caucasian,Male,Lane Violation,Wrong way on one way street,One citation issued,Citation Issued,No
1276,10/11/2017 4:53 PM,5200 S Blackstone,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1277,10/11/2017 4:57 PM,6100 S Cottage Grove,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1278,10/12/2017 11:20 AM,5400 S Woodlawn,Caucasian,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1279,10/13/2017 2:51 PM,5300 Greenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1280,10/14/2017 4:39 PM,5800 Kimbark,African American,Female,Lane Violation,Wrong way on a one way street,,Verbal Warning,No
1281,10/15/2017 7:53 PM,5400 S Drexel,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1282,10/15/2017 3:21 PM,5400 Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1283,10/15/2017 9:49 AM,5300 Kenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1284,No traffic stops for 10/16/2017,No traffic stops for 10/16/2017,No traffic stops for 10/16/2017,No traffic stops for 10/16/2017,No traffic stops for 10/16/2017,No traffic stops for 10/16/2017,No traffic stops for 10/16/2017,No traffic stops for 10/16/2017,No traffic stops for 10/16/2017
1285,10/17/2017 3:20 PM,1226 E 53rd,Asian,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1286,10/18/2017 2:26 PM,5600 Lake Park,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1287,10/18/2017 2:44 PM,5600 Kimbark,African American,Male,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No
1288,10/18/2017 4:23 PM,Midway Plaisance and Stony Island,African American,Female,Seatbelt,Failure to secure child in seat,One citation issued,Citation issued,No
1289,10/18/2017 5:13 PM,5737 Kimbark,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1290,10/18/2017 7:53 PM,5300 S Kenwood,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1291,10/19/2017 4:00 PM,5828 Drexel,Caucasian,Female,Lane Violation,Right turn in front of CTA bus,,Verbal Warning,No
1292,10/19/2017 9:05 PM,5300 S Hyde Park,African American,Male,Traffic Sign/Signal,Speeding,,Verbal Warning,No
1293,10/20/2017 3:31 AM,4700 S Lake Park,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1294,10/20/2017 3:52 PM,6000 S Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1295,10/20/2017 8:00 PM,1150 E 62nd,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1296,10/20/2017 8:08 PM,5200 S Drexel,Asian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1297,10/21/2017 7:47 PM,6310 S Ingleside,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1298,10/21/2017 8:33 PM,5200 S Ingleside,Asian,Female,Lane Violation,Ran stop sign,,Verbal Warning,No
1299,10/21/2017 9:41 PM,5600 S Cottage Grove,Caucasian,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1300,10/21/2017 10:17 PM,5300 S Cornell,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1301,10/22/2017 7:26 PM,5700 S Harper,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1302,No traffic stops for 10/23/2017,No traffic stops for 10/23/2017,No traffic stops for 10/23/2017,No traffic stops for 10/23/2017,No traffic stops for 10/23/2017,No traffic stops for 10/23/2017,No traffic stops for 10/23/2017,No traffic stops for 10/23/2017,No traffic stops for 10/23/2017
1303,10/24/2017 2:37 PM,6228 Drexel,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1304,No traffic stops for 10/25/2017,No traffic stops for 10/25/2017,No traffic stops for 10/25/2017,No traffic stops for 10/25/2017,No traffic stops for 10/25/2017,No traffic stops for 10/25/2017,No traffic stops for 10/25/2017,No traffic stops for 10/25/2017,No traffic stops for 10/25/2017
1305,10/26/2017 11:31 PM,5700 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1306,10/27/2017 5:32 PM,5500 S Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1307,10/27/2017 5:32 PM,5900 S University,Caucasian,Female,Traffic Sign/Signal,Wrong way on one way street,,Verbal Warning,No
1308,10/28/2017 1:51 PM,4700 S Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1309,10/28/2017 4:45 PM,5500 Kenwood,Caucasian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1310,No traffic stops for 10/29/2017,No traffic stops for 10/29/2017,No traffic stops for 10/29/2017,No traffic stops for 10/29/2017,No traffic stops for 10/29/2017,No traffic stops for 10/29/2017,No traffic stops for 10/29/2017,No traffic stops for 10/29/2017,No traffic stops for 10/29/2017
1311,No traffic stops for 10/30/2017,No traffic stops for 10/30/2017,No traffic stops for 10/30/2017,No traffic stops for 10/30/2017,No traffic stops for 10/30/2017,No traffic stops for 10/30/2017,No traffic stops for 10/30/2017,No traffic stops for 10/30/2017,No traffic stops for 10/30/2017
1312,10/31/2017 4:05 PM,6320 S Greenwood,African American,Male,Lane Violation,Improper lane usage,Two citations issued,Citation issued,No
1313,10/31/2017 9:39 PM,6300 S Kimbark,African American,Male,Speed,Speeding,,Verbal Warning,No
1314,No traffic stops for 11/01/2017,No traffic stops for 11/01/2017,No traffic stops for 11/01/2017,No traffic stops for 11/01/2017,No traffic stops for 11/01/2017,No traffic stops for 11/01/2017,No traffic stops for 11/01/2017,No traffic stops for 11/01/2017,No traffic stops for 11/01/2017
1315,11/2/2017 10:52 PM,5400 S Dorchester,African American,Female,Lane Violation,Wrong way on a one way street,,Verbal Warning,No
1316,11/2/2017 11:06 PM,5500 S Ellis,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1317,11/3/2017 5:00 PM,5500 S Harper,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1318,11/3/2017 8:10 PM,6230 S Drexel,African American,Female,Lane Violation,Improper turn,,Verbal Warning,No
1319,No traffic stops for 11/04/2017,No traffic stops for 11/04/2017,No traffic stops for 11/04/2017,No traffic stops for 11/04/2017,No traffic stops for 11/04/2017,No traffic stops for 11/04/2017,No traffic stops for 11/04/2017,No traffic stops for 11/04/2017,No traffic stops for 11/04/2017
1320,11/5/2017 2:24 AM,5300 S Ingleside,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1321,11/6/2017 9:36 AM,5500 Ellis,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1322,11/6/2017 3:17 PM,5300 Greenwood,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1323,11/7/2017 12:25 PM,5300 University,Caucasian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1324,11/7/2017 5:15 PM,5500 Dorchester,Asian,Female,Lane Violation,Improper right turn in front of bus,,Verbal Warning,No
1325,11/7/2017 5:49 PM,5800 S Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1326,11/8/2017 10:45 AM,5200 S. Kenwood,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
1327,11/9/2017 11:17 AM,5300 S Kimbark,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1328,11/9/2017 9:36 PM,5900 S Woodlawn,Asian,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1329,11/10/2017 4:29 PM,800 Midway Plaisance,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1330,11/10/2017 8:00 PM,5300 S Lake Park,African American,Male,Lane Violation,Failure to yield when entering traffic lane,,Verbal Warning,No
1331,11/10/2017 9:52 PM,5500 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1332,11/10/2017 10:11 PM,5214 S Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1333,11/11/2017 1:36 AM,5205 S Woodlawn,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1334,11/11/2017 2:36 PM,5550 S Woodlawn,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Two citations issued,Citation issued,No
1335,11/11/2017 9:21 PM,5500 S Woodlawn,African American,Male,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No
1336,11/11/2017 11:32 PM,5235 S Drexel,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1337,11/12/2017 8:19 PM,5600 S Drexel,Caucasian,Female,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1338,11/12/2017 9:33 PM,1100 E 57th,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1339,11/13/2017 3:30 PM,5200 S Dorchester,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1340,11/14/2017 9:37 AM,1000 E 63rd St,African American,Male,Lane Violation,Failure to signal,,Verbal Warning,No
1341,11/14/2017 12:07 AM,1055 E 51st,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1342,11/14/2017 5:58 PM,5200 S Dorchester,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1343,11/14/2017 8:44 PM,5000 S Woodlawn,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1344,No traffic stops for 11/15/2017,No traffic stops for 11/15/2017,No traffic stops for 11/15/2017,No traffic stops for 11/15/2017,No traffic stops for 11/15/2017,No traffic stops for 11/15/2017,No traffic stops for 11/15/2017,No traffic stops for 11/15/2017,No traffic stops for 11/15/2017
